MHOUNDEL_BRANCH_ID,MHOUNDEL_NO,MHOUNDEL_REMARKS,MHOUNDEL_DATE,MHOUNDEL_USER_ID,MHOUNDEL_ZONE,MHOUNDEL_APPROVE,MHOUNDEL_USER1,MHOUNDEL_USER2,MHOUNDEL_SIGNDATE,MHOUNDEL_FLOW
CGK000,CGK/HOC/00577119,,2026-01-07 14:51:56,MNURCGK,CGK637,Y,MNURCGK,ERVAN,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577233,AU Ex UNDEL,2026-01-07 23:34:06,TORO_W,CGK637,Y,TORO_W,LANDYA,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00576959,,2026-01-06 21:38:06,AWAN_W,CGK637,Y,AWAN_W,RIDHWAN,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00577042,,2026-01-07 01:14:30,ZAENIS,CGK864,Y,ZAENIS,WARDOYO,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577269,,2026-01-08 01:49:49,ZAENIS,CGK864,Y,ZAENIS,WARDOYO,2026-01-08 00:00:00,C
SRG000,SRG/HOC/00082372,AU Ex UNDEL,2026-01-07 21:57:14,RICKYW,SRG350,Y,RICKYW,SOTIA,2026-01-07 00:00:00,C
SOC000,SOC/HOC/00064747,AU Ex UNDEL,2026-01-08 22:22:15,DONIKUR,SOC108,Y,DONIKUR,ETYOSOC,2026-01-08 00:00:00,C
BDO000,BDO/HOC/00229130,AU Ex UNDEL,2026-01-07 21:26:38,HUSENBDO,BDO011,Y,HUSENBDO,AJAT S,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00576769,AU Ex UNDEL,2026-01-06 00:10:17,THAMRIKA,CGK843,Y,THAMRIKA,MS,2026-01-06 00:00:00,C
BKI000,BKI/HOC/00091520,AU Ex UNDEL,2026-01-06 01:15:57,EPTIABKI,BKI001,Y,EPTIABKI,SUSILO_F,2026-01-06 00:00:00,C
BOO000,BOO/HOC/00096956,AU Ex UNDEL,2026-01-06 01:30:23,APRINDA,BOO001,Y,APRINDA,HENDRANO,2026-01-06 00:00:00,C
BOO000,BOO/HOC/00096948,AU Ex UNDEL,2026-01-06 00:01:10,MKHOEE,BOO001,Y,MKHOEE,HENDRANO,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00577547,AU Ex UNDEL,2026-01-09 11:25:44,ASPCGK,CGK843,Y,ASPCGK,SALIMCGK,2026-01-09 00:00:00,C
CGK000,CGK/HOC/00577044,,2026-01-07 01:19:41,WILLYANA,CGK864,Y,WILLYANA,WARDOYO,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00576990,AU Ex UNDEL,2026-01-06 23:29:18,ERWINHER,CGK843,Y,ERWINHER,IBNUCHAI,2026-01-06 00:00:00,C
