DSJ_NO,DSJ_BAG_NO,DSJ_HVO_NO,DSJ_UID,DSJ_CDATE
SRG/DO/01577479,SRG605/24989508,SRG/HVO/02822265,MSAESRG,2026-01-06 05:00:43
BKI/DO/00253718,BKI475/24996662,BKI/HVO/00391404,FIRARDIA,2026-01-06 17:12:26
BKI/DO/00253718,BKI475/24997125,BKI/HVO/00391404,FIRARDIA,2026-01-06 17:12:35
SRG/DO/01577962,SRG487/24997877,SRG/HVO/02822774,DMSDITYA,2026-01-06 18:14:09
CGK/DO/03391925,2073260106174560,CGK/HVO/11213901,TANRIFD,2026-01-06 18:18:13
KDR/DO/00114668,KDR003/24996929,KDR/HVO/00306107,MPRAS,2026-01-06 18:41:40
CGK/DO/03390409,2114260105232905,CGK/HVO/11206813,ARSYADA,2026-01-05 23:57:05
CGK/DO/03390409,2128260105233207,CGK/HVO/11206864,ARSYADA,2026-01-05 23:57:05
CGK/DO/03390834,2161260106045306,CGK/HVO/11209429,RINALDY,2026-01-06 05:47:04
CGK/DO/03390290,CGK864/24987298,CGK/HVO/11206141,TANRIFD,2026-01-05 22:31:03
CGK/DO/03390290,CGK864/24987316,CGK/HVO/11206154,TANRIFD,2026-01-05 22:31:03
DPS/DO/00201137,DPS033/24986794,DPS/HVO/00509077,AINUNDPS,2026-01-05 23:50:36
DPS/DO/00201137,DPS033/24987493,DPS/HVO/00509077,AINUNDPS,2026-01-05 23:50:50
CGK/DO/03391517,CGK457/24993802,CGK/HVO/11212061,SALIMCGK,2026-01-06 13:49:54
CGK/DO/03390917,2231260106051309,CGK/HVO/11209514,ARSYADA,2026-01-06 05:56:14
CGK/DO/03391113,2107260106072811,CGK/HVO/11210627,MRIAL,2026-01-06 08:25:42
BKI/DO/00253718,BKI475/24995275,BKI/HVO/00391404,FIRARDIA,2026-01-06 17:12:13
BKI/DO/00253718,BKI475/24995315,BKI/HVO/00391404,FIRARDIA,2026-01-06 17:12:16
BKI/DO/00253718,BKI475/24995347,BKI/HVO/00391404,FIRARDIA,2026-01-06 17:12:19
BKI/DO/00253718,BKI475/24996738,BKI/HVO/00391404,FIRARDIA,2026-01-06 17:12:30
BOO/DO/00466603,BOO326/24997231,BOO/HVO/01108162,ERIEKBOO,2026-01-06 17:16:35
CGK/DO/03391536,CGK010/24995523,CGK/HVO/11212677,MRIAL,2026-01-06 15:08:07
CGK/DO/03391677,2147260106133312,CGK/HVO/11212545,TANRIFD,2026-01-06 15:32:29
CGK/DO/03391009,2226260106060412,CGK/HVO/11210057,ARSYADA,2026-01-06 06:58:30
CGK/DO/03391383,CGK1271/24993646,CGK/HVO/11211976,ENDDESP,2026-01-06 12:00:12
BKI/DO/00253511,BKI468/24986971,BKI/HVO/00391237,FIRARDIA,2026-01-05 21:56:58
TGR/DO/00887679,TGR474/24995994,TGR/HVO/04633976,VIEMAPU,2026-01-06 15:35:51
KRW/DO/00102272,KRW157/24996744,KRW/HVO/00144374,MUHABDUH,2026-01-06 16:02:30
CGK/DO/03391689,CGK1153/24995494,CGK/HVO/11212668,ENDDESP,2026-01-06 15:15:49
TGR/DO/00887693,TGR129/24995631,TGR/HVO/04633964,AMIN_A,2026-01-06 15:51:22
TGR/DO/00887693,TGR129/24995820,TGR/HVO/04633971,AMIN_A,2026-01-06 15:51:22
CGK/DO/03390333,CGK1266/24987535,CGK/HVO/11206237,SALIMCGK,2026-01-05 22:46:11
CGK/DO/03390333,CGK1266/24987535,CGK/HVO/11206237,SALIMCGK,2026-01-05 22:46:11
CGK/DO/03390394,CGK1345/24984956,CGK/HVO/11205546,A HAJRI,2026-01-05 23:22:00
