DHOUNDEL_NO,DHOUNDEL_SEQ_NO,DHOUNDEL_CNOTE_NO,DHOUNDEL_QTY,DHOUNDEL_REMARKS,DHOUNDEL_WEIGHT,DHOUNDEL_SERVICE,DHOUNDEL_DEST,DHOUNDEL_GOODS,DHOUNDEL_HRS,CREATE_DATE
AMI/HOC/00073078,12,TG3544497773,1,ANTAR ULANG UNDEL  EX-HOC,,,,,AMI/HRS/01024648,2026-01-13 16:36:14
CGK/HOC/00577261,93,TG3545636975,1,,,,,,CGK/HRS/15273524,2026-01-08 00:53:37
CGK/HOC/00576911,31,TG7008419612,1,ANTAR ULANG DI AREA,,,,,CGK/HRS/15255716,2026-01-06 16:06:15
UPG/HOC/00093014,9,010260000197326,1,,,,,,UPG/HRS/02141021,2026-01-15 15:23:43
BOO/HOC/00096952,8,0161262600002050,1,,,,,,BOO/HRS/07743033,2026-01-06 00:37:02
PLM/HOC/00067596,105,050010000217826,1,,,,,,PLM/HRS/03032640,2026-01-09 00:21:46
CGK/HOC/00577022,4,050190000050026,1,,,,,,CGK/HRS/15264304,2026-01-07 00:17:43
DPS/HOC/00203560,3,051770014762625,1,AU TO OPR,,,,,DPS/HRS/02035501,2026-01-07 14:02:20
CLG/HOC/00148608,2,170810000044526,1,ANTAR ULANG,,,,,CLG/HRS/02842308,2026-01-07 00:03:12
BDO/HOC/00229181,1,541410000108426,1,,,,,,BDO/HRS/08336545,2026-01-08 15:21:34
PWT/HOC/00101214,45,630510000056626,1,,,,,,PWT/HRS/01437522,2026-01-06 21:48:00
